Country;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Iceland;29,9;28,2;26,4;21,7;19,0;22,2;22,2;21,9;18,8;15,8;13,5;12,1;11,5;10,9;10,4;9,4;11,1;15,8;14,0;13,6;11,1;10,1;9,9;9,2;9,8;8,4;7,6;6,7;5,9;5,5;5,4;5,3;5,5;5,6;5,1;5,2;5,2;4,8;4,1;3,9;3,7;3,1;3,3;3,2;2,4;2,1;2,0;1,9;1,5;1,1;1,3;0,9;0,8;0,6;0,5;0,4;0,5;0,6;0,6;0,5;0,4;0,3;0,3;0,2;0,3
Norway;531,8;505,0;479,5;407,6;318,1;361,7;370,3;353,3;333,5;347,6;375,9;393,4;396,5;358,3;323,8;278,2;317,0;293,2;275,4;248,5;213,0;202,5;207,9;194,4;185,8;152,3;137,4;142,3;128,7;116,2;107,1;102,9;101,1;98,6;94,3;93,2;86,2;81,8;80,0;86,4;78,9;69,3;64,0;57,1;46,4;38,8;36,6;36,4;32,2;26,6;23,0;18,3;15,5;13,9;12,5;10,9;9,9;9,0;8,2;7,6;6,9;6,3;5,8;5,4;5,0
